Neighborhood,Latitude,Longitude
Kirlampudi Layout,17.7206346671472,83.33147323297433
Kommadi,17.82433000000003,83.34058000000005
Kurmannapalem,17.69165000000004,83.16470000000004
Lankelapalem,17.688310000000058,83.12011000000007
Lawsons Bay Colony,17.736705122248157,83.34042136867609
Maddilapalem,17.739550000000065,83.32080000000008
Madhavadhara,17.747730000000047,83.25717000000003
Madhurawada,17.808170000000075,83.34362000000004
Maharanipeta,17.708290000000034,83.31033000000008
Malkapuram,17.68862000000007,83.24778000000003
Mangamaripeta,17.836310000000026,83.41003000000006
Marripalem,17.74051000000003,83.24869000000007
Mindi,17.70228000000003,83.21020000000004
Mulagada,17.698590000000024,83.22464000000008
Muralinagar,17.74794000000003,83.26313000000005
MVP Colony,17.741110025784522,83.33461390443479
NAD X Road,17.719840000000033,83.26278000000008
Nadupuru,17.672630000000026,83.19407000000007
Naidu Thota,17.754101145760867,83.21567340591179
Narasimha Nagar,17.74269000000004,83.30041000000006
Narava,17.759120000000053,83.17792000000009
Nathayyapalem,17.710990000000038,83.20239000000004
Template:Neighbourhoods of Visakhapatnam,17.719840000000033,83.26278000000008
Nidigattu,17.87796000000003,83.37371000000007
One Town (Visakhapatnam),17.719840000000033,83.26278000000008
Padmanabham,17.99189000000007,83.33633000000003
"Pandurangapuram, Visakhapatnam",17.717970000000037,83.32847000000004
Parawada,17.629290000000026,83.07980000000003
Peda Waltair,17.73149379407532,83.33431250010109
Pedagantyada,17.666800000000023,83.21039000000007
Pendurthi,17.819900000000075,83.20574000000005
Pineapple Colony,17.778120000000058,83.27050000000008
Pithapuram Colony,17.73563000000007,83.32231000000007
Poorna Market,17.706830000000025,83.29814000000005
Pothinamallayya Palem,17.801870000000065,83.35312000000005
Prahaladapuram,17.760640000000024,83.22227000000004
Prakashraopeta,17.716196939181255,83.3069252969313
Pudimadaka,17.523070000000075,82.99121000000008
Railway New Colony,17.728620000000035,83.29206000000005
Rama Talkies Road,17.723705952697347,83.30820592734726
"Ramnagar, Visakhapatnam",17.721190000000036,83.30907000000008
Ravada,17.604910000000075,83.08052000000004
Ravindra Nagar,17.765600000000063,83.32455000000004
Relli Veedhi,17.703270000000032,83.30316000000005
Resapuvanipalem,17.733690000000024,83.31589000000008
Rushikonda,17.79329000000007,83.38739000000004
Sabbavaram,17.793430000000058,83.11948000000007
Sagar Nagar,17.76962000000003,83.36437000000006
Salipeta,17.758565555661452,83.31895678933486
Sankara Matam Road,17.731642163441585,83.3017440418367
"Scindia, Visakhapatnam",17.69106000000005,83.26918000000006
Seethammadhara,17.740670000000023,83.31072000000006
Seethammapeta,17.734290000000044,83.31058000000007
Sheela Nagar,17.71927000000005,83.19642000000005
Shivaji Palem,17.737610000000075,83.32577000000003
"Siripuram, Visakhapatnam",17.721210000000042,83.31686000000008
Sontyam,17.866460000000075,83.28725000000009
Sriharipuram,17.683930000000032,83.23549000000008
Sujatha Nagar,17.796800000000076,83.21118000000007
Suryabagh,17.711910000000046,83.29994000000005
Tagarapuvalasa,17.931820000000073,83.42742000000004
Thatichetlapalem,17.734650000000045,83.28970000000004
Town Kotha Road,17.702410000000043,83.29812000000004
Tunglam,17.703131371175235,83.19437612564306
Vadlapudi,17.69112000000007,83.17408000000006
Velampeta,17.705771041108544,83.2979024210774
Venkojipalem,17.74583000000007,83.32963000000007
Vepagunta,17.778200000000027,83.21599000000003
"VIP Road, Visakhapatnam",17.648759619781302,83.15081448953782
Visalakshi Nagar,17.75577000000004,83.34163000000007
Waltair Main Road,17.72183221263241,83.31629782307789
Waltair Uplands,17.722216563850974,83.31452460582757
Yarada,17.681660000000022,83.27006000000006
Yendada,17.782230000000027,83.35817000000003
